gene_id	gene_symbol	category	description	RFP3D11	RFP3D39	RFP3D47	RFPNG14	RFPNG35	RFPNG45	RFPRPM4	RFPRPM41	RFPRPM6
MMAR_0077	mmp_77	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0077	9.9049	9.8041	9.7933	9.3916	9.3689	9.5474	9.6474	9.8661	9.6315
MMAR_0078	mmp_78	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0078	8.6878	8.7825	8.8225	8.8042	8.7168	8.5596	8.9097	8.6208	8.809
MMAR_0079	mmp_79	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0079	9.0647	9.1175	9.2252	8.7886	8.7761	8.8959	8.7767	8.8793	8.8556
MMAR_0080	mmp_80	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0080	11.7505	11.6828	11.6638	11.4257	11.6335	11.6664	11.2996	11.1118	11.2529
MMAR_0081	mmp_81	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0081	10.727	10.9293	10.9479	11.6725	11.8741	11.6812	10.9325	10.8279	10.6731
MMAR_0082	mmp_82	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0082	11.6427	11.8371	11.6093	12.0576	12.0602	12.1052	11.926	12.3194	11.9683
MMAR_0083	mmp_83	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0083	12.0542	12.0555	12.0938	11.7244	11.9024	11.731	11.7086	11.5818	11.8871
MMAR_0084	mmp_84	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0084	8.9237	8.9729	9.1431	8.7236	8.8537	8.5324	8.8775	8.8522	8.6508
MMAR_0085	mmp_85	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0085	10.4516	10.6203	10.6556	10.7185	10.6052	10.3063	10.6237	10.4161	10.5656
MMAR_0086	mmp_86	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0086	10.7409	10.6139	10.7851	10.5399	10.7353	10.6168	10.8666	10.8769	10.9536
MMAR_0087	mmp_87	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0087	11.1459	11.126	11.2404	10.8658	10.9501	11.1326	11.4705	11.1235	11.4651
MMAR_0088	mmp_88	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0088	9.9673	9.9128	10.0763	9.6941	9.6607	9.756	10.0119	10.1874	10.0383
MMAR_0089	mmp_89	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0089	11.5691	11.708	11.537	11.7419	11.857	12.0204	11.3928	11.202	11.5538
MMAR_0090	mmp_90	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0090	10.2321	10.4532	10.4842	10.4963	10.5583	10.7078	10.3226	10.5983	10.5353
MMAR_0091	mmp_91	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0091	11.791	11.666	11.4853	11.9043	11.8047	11.7396	12.3911	12.2003	12.287
MMAR_0092	mmp_92	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0092	8.2889	8.2231	8.451	8.7289	8.8402	8.5271	8.0034	8.1928	8.2791
MMAR_0093	mmp_93	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0093	11.728	11.6737	11.7107	11.5426	11.2167	11.3596	12.2278	11.9844	12.0781
MMAR_0094	mmp_94	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0094	10.2297	10.5223	10.3413	10.1398	10.1221	10.2852	10.4326	10.5114	10.5147
MMAR_0095	mmp_95	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0095	10.0433	9.9122	10.1771	9.4741	9.406	9.5633	9.9324	10.06	9.809
MMAR_0096	mmp_96	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0096	11.3367	11.2547	11.3328	11.6209	11.7845	11.8615	11.0694	11.0674	11.0348
MMAR_0097	mmp_97	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0097	10.0618	10.0553	10.1991	9.6814	9.7541	9.6225	9.6056	9.4211	9.6463
MMAR_0098	mmp_98	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0098	11.6391	11.7493	11.4459	11.6144	11.4082	11.4652	11.4835	11.6055	11.4646
MMAR_0099	mmp_99	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0099	12.3725	12.5046	12.3553	12.5107	12.4492	12.3389	12.6311	12.7395	12.5855
MMAR_0100	mmp_100	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0100	11.9888	11.9917	11.7433	11.4079	11.6289	11.7719	12.2169	12.4464	12.473
MMAR_0101	mmp_101	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0101	9.2169	9.4466	9.235	8.9357	8.9654	8.9137	9.172	9.1366	9.073
MMAR_0102	mmp_102	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0102	11.3526	11.4098	11.5367	11.5884	11.8777	11.4157	11.2917	10.9978	11.1028
MMAR_0103	mmp_103	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0103	9.2265	9.0273	9.1971	8.6978	8.7729	8.823	9.0166	8.9251	9.0147
MMAR_0104	mmp_104	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0104	10.8698	10.8631	10.6791	10.7005	10.9516	10.8027	10.8041	10.8897	10.8857
MMAR_0105	mmp_105	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0105	10.8809	10.7878	10.7901	10.9653	11.0506	10.8994	10.7154	10.6597	10.5831
MMAR_0106	mmp_106	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0106	9.3576	9.5848	9.4441	10.1914	10.1324	10.0995	9.213	9.099	9.4027
MMAR_0107	mmp_107	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0107	8.9885	8.9124	9.0647	9.4469	9.2271	9.3146	9.0483	9.2742	9.2787
MMAR_0108	mmp_108	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0108	10.3047	10.0617	10.2981	9.6032	9.6308	9.9934	9.8506	9.9637	10.3215
MMAR_0109	mmp_109	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0109	10.1381	10.2983	10.1342	9.877	9.9632	10.1286	10.2026	10.2134	10.0083
MMAR_0110	mmp_110	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0110	10.3074	10.327	10.3195	10.0322	9.9018	9.9294	10.5612	10.746	10.5635
MMAR_0111	mmp_111	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0111	11.3925	11.233	11.1086	11.1729	10.9841	11.0744	11.063	11.109	10.8879
MMAR_0112	mmp_112	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0112	11.3885	11.4129	11.3815	11.0953	11.1065	11.1741	11.5083	11.5459	11.4987
MMAR_0113	mmp_113	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0113	9.4478	9.4345	9.4142	9.0452	8.8764	8.9444	9.3491	9.2819	9.5143
MMAR_0114	mmp_114	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0114	10.0492	10.1129	9.9709	9.5098	9.3339	9.5208	9.7989	9.8916	9.8652
MMAR_0115	mmp_115	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0115	9.2264	9.4042	9.4925	8.9152	8.9028	9.217	9.4081	9.5748	9.5065
MMAR_0116	mmp_116	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0116	8.5204	8.4224	8.6856	8.5823	8.8393	8.825	8.3084	8.4197	8.2615
MMAR_0117	mmp_117	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0117	11.1545	11.1995	10.9457	11.2173	11.1917	11.1168	11.4867	11.3864	11.207
MMAR_0118	mmp_118	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0118	10.0527	9.6971	10.0273	9.6409	9.4222	9.6044	9.9891	10.0315	10.006
MMAR_0119	mmp_119	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0119	11.505	11.5427	11.256	12.1532	12.2369	12.2015	11.5335	11.6934	11.7952
MMAR_0120	mmp_120	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0120	12.082	12.1118	12.0386	11.9057	11.826	11.8229	11.9306	11.9035	12.0151
MMAR_0121	mmp_121	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0121	11.0086	10.9139	10.961	11.2466	11.4952	11.2935	11.0213	11.2224	11.0819
MMAR_0122	mmp_122	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0122	11.6997	11.7518	11.8614	11.094	11.041	11.2283	11.3568	11.5269	11.4838
MMAR_0123	mmp_123	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0123	11.0524	11.1181	11.0682	10.8794	11.198	11.1369	11.2828	11.5821	11.3455
MMAR_0124	mmp_124	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0124	10.9438	10.8452	10.9674	10.8646	11.1281	10.8492	10.902	10.7692	10.846
MMAR_0125	mmp_125	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0125	10.4916	10.4776	10.393	10.5697	10.5419	10.4895	10.0812	10.112	10.1654
MMAR_0126	mmp_126	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0126	9.5391	9.2651	9.1454	9.3012	9.3578	9.3498	9.2326	8.9473	9.0408
MMAR_0127	mmp_127	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0127	10.5977	10.5436	10.8553	10.5255	10.4119	10.5005	10.8527	10.4318	10.6655
MMAR_0128	mmp_128	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0128	12.2481	12.1763	12.1278	11.4295	11.4556	11.2982	12.1212	12.1181	12.1278
MMAR_0129	mmp_129	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0129	12.5952	12.7815	12.7363	12.034	12.3176	12.2987	12.5777	12.2711	12.1978
MMAR_0130	mmp_130	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0130	10.1497	10.0957	10.0072	10.3955	10.4076	10.2648	10.3328	10.5506	10.2494
MMAR_0131	mmp_131	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0131	10.7726	11.0286	11.1124	10.5733	10.424	10.3693	10.4992	10.7284	10.728
MMAR_0132	mmp_132	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0132	10.2901	10.6505	10.3514	10.0461	9.943	10.3489	10.4614	10.4722	10.5524
MMAR_0133	mmp_133	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0133	10.6264	10.4984	10.6315	10.3288	10.2723	10.0057	11.022	10.799	10.917
MMAR_0134	mmp_134	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0134	9.8403	9.5793	9.8284	9.835	9.642	9.7996	9.5135	9.514	9.4509
MMAR_0135	mmp_135	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0135	8.4424	8.6346	8.3639	8.8852	8.7886	9.0603	8.6271	8.4909	8.6988
MMAR_0136	mmp_136	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0136	10.3453	10.5903	10.5346	10.5524	10.5206	10.591	10.9578	11.0081	11.1177
MMAR_0137	mmp_137	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0137	11.6069	11.5501	11.6442	11.8268	11.8794	11.8062	11.8565	11.5784	11.8541
MMAR_0138	mmp_138	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0138	10.0477	10.2124	10.4056	10.7749	10.6509	10.6048	9.8615	9.8684	10.2923
MMAR_0139	mmp_139	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0139	12.436	12.6348	12.5853	12.4107	12.2514	12.2596	12.8551	12.5357	12.8595
MMAR_0140	mmp_140	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0140	11.4986	11.6024	11.4467	10.9252	10.9649	11.1882	11.5642	11.6666	11.7498
MMAR_0141	mmp_141	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0141	8.9233	8.9848	8.7659	9.3364	9.1885	9.2259	8.8914	8.9245	8.8794
MMAR_0142	mmp_142	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0142	9.4653	9.3605	9.3873	9.3837	9.2067	8.9871	9.3058	9.267	9.4325
MMAR_0143	mmp_143	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0143	9.7096	9.5848	9.7017	10.0075	10.0618	9.9915	9.8417	10.0454	10.0414
MMAR_0144	mmp_144	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0144	9.4308	9.3285	9.4832	9.3929	9.5501	8.9559	9.4823	9.7104	9.2569
MMAR_0145	mmp_145	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0145	8.9177	8.8674	9.1178	8.4418	8.3157	8.3261	9.0898	9.037	9.3828
MMAR_0146	mmp_146	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0146	9.9978	10.0488	10.119	10.2328	9.9256	9.8906	10.8344	10.6476	10.6936
MMAR_0147	mmp_147	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0147	12.2291	12.313	12.247	12.0699	12.2367	12.0527	12.1482	12.1062	12.0049
MMAR_0148	mmp_148	Background_Genome	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0148	11.8173	11.9488	12.0246	11.7781	11.9159	12.1648	12.3389	12.1977	12.1434
